"","botid","timestamp","coordinates_long","coordinates_lat","quality","coordinates_lat_end","coordinates_long_end"
"107","6D100",1501497080,24.6600825,59.401267,3,59.4006455,24.65996
"108","6D100",1501497140,24.659962,59.4006365,4,59.40014,24.6605545
"109","6D100",1501497211,24.660568,59.4001285,3,59.399725,24.660893
"110","6D100",1501497279,24.660893,59.399725,3,59.399898,24.660337
"111","6D100",1501497369,24.660322,59.39991,3,59.400047,24.6592505
"112","6D100",1501497429,24.6592225,59.400051,4,59.400407,24.658151
"113","6D100",1501497494,24.658133,59.40041,3,59.400227,24.657294
"114","6D100",1501497554,24.657295,59.4002125,3,59.4003155,24.657289
"115","6D100",1501500373,24.657286,59.40033,4,59.420695,24.7274895
"116","6D100",1501501742,24.727496,59.42068,3,59.420508,24.726635
"117","6D100",1501501808,24.7266045,59.4205095,4,59.420668,24.725762
"118","6D100",1501501881,24.725762,59.420669,4,59.420784,24.725223
"119","6D100",1501502027,24.725218,59.420785,3,59.421046,24.724067
"120","6D100",1501502096,24.72406525,59.42104325,4,59.4205655,24.723644
"121","6D100",1501502180,24.723636,59.420554,4,59.420313,24.723448
"122","6D100",1501502296,24.723448,59.420313,4,59.4199115,24.7230945
"123","6D100",1501502401,24.7230815,59.419897,4,59.41942,24.722673
"124","6D100",1501502480,24.722673,59.41942,4,59.418819,24.722156
"125","6D100",1501502572,24.722143,59.4188045,4,59.418007,24.7214875
"126","6D100",1501502632,24.7214765,59.417994,3,59.417604,24.721713
"127","6D100",1501502702,24.7217155,59.4176035,3,59.417437,24.722225
"128","6D100",1501502778,24.7222285,59.417436,4,59.417326,24.7227
"129","6D100",1501502880,24.7227,59.417326,4,59.417152,24.7234725
"130","6D100",1501502950,24.723494,59.4171475,4,59.416911,24.724509
"131","6D100",1501503023,24.7245375,59.4169045,4,59.4167,24.7254335
"132","6D100",1501503092,24.725441,59.4166975,4,59.4165603333333,24.7260693333333
"133","6D100",1501503199,24.7260875,59.4165555,4,59.4163463333333,24.7270026666667
"134","6D100",1501503264,24.7270215,59.416342,4,59.4161695,24.7277915
"135","6D100",1501503332,24.727804,59.416167,4,59.4159955,24.728562
"136","6D100",1501503405,24.7285705,59.4159935,4,59.41585,24.7292065
"137","6D100",1501503474,24.7292265,59.4158455,3,59.4157033333333,24.729885
"138","6D100",1501503550,24.7298935,59.4156945,4,59.415363,24.731251
