botid,timestamp,coordinates_long,coordinates_lat,heading,stdev
6E5,1499097788.834,24.661251,59.399535,-0.528617,0.028819
6E5,1499097789.350,24.661245,59.39954,-0.529364,0.031999
6E5,1499097789.830,24.661236,59.399547,-0.527298,0.030072
6E5,1499097790.353,24.66123,59.399552,-0.52794,0.031002
6E5,1499097790.990,24.661222,59.39956,-0.52961,0.030728
6E5,1499097791.468,24.661216,59.399565,-0.528911,0.031924
6E5,1499097792.012,24.661207,59.399573,-0.529616,0.032655
6E5,1499097792.471,24.661199,59.39958,-0.531241,0.033396
6E5,1499097792.741,24.661196,59.399583,-0.531073,0.033751
6E5,1499097793.288,24.661187,59.39959,-0.531578,0.028619
6E5,1499097793.810,24.661181,59.399595,-0.533984,0.033778
6E5,1499097794.354,24.661173,59.399603,-0.534356,0.034639
6E5,1499097794.836,24.661167,59.399608,-0.533074,0.030617
6E5,1499097795.303,24.661158,59.399615,-0.535271,0.029185
6E5,1499097795.307,24.661158,59.399615,-0.536041,0.030023
6E5,1499097795.913,24.661149,59.399623,-0.541758,0.033044
6E5,1499097796.351,24.661143,59.399628,-0.54629,0.030051
6E5,1499097796.945,24.661134,59.399635,-0.551348,0.030815
6E5,1499097797.426,24.661128,59.39964,-0.552848,0.030757
6E5,1499097797.953,24.661119,59.399648,-0.555803,0.034963
6E5,1499097798.458,24.661113,59.399653,-0.555654,0.032675
6E5,1499097799.026,24.661104,59.39966,-0.556176,0.032844
6E5,1499097799.501,24.661095,59.399668,-0.561961,0.034061
6E5,1499097800.058,24.661089,59.399673,-0.561247,0.027388
6E5,1499097800.574,24.661079,59.39968,-0.559891,0.028245
6E5,1499097801.026,24.66107,59.399688,-0.563244,0.028133
6E5,1499097801.633,24.661064,59.399692,-0.562912,0.028967
6E5,1499097802.147,24.661055,59.3997,-0.564142,0.028956
6E5,1499097802.309,24.661052,59.399702,-0.56612,0.028458
6E5,1499097802.828,24.661042,59.39971,-0.558445,0.03038
6E5,1499097803.334,24.661036,59.399715,-0.553032,0.029325
6E5,1499097803.854,24.661027,59.399722,-0.552868,0.030234
6E5,1499097804.397,24.661021,59.399727,-0.549978,0.030979
6E5,1499097804.896,24.661012,59.399735,-0.550154,0.030969
6E5,1499097805.156,24.661009,59.399737,-0.550446,0.030587
6E5,1499097805.711,24.661,59.399745,-0.554229,0.03146
6E5,1499097806.249,24.660994,59.39975,-0.554523,0.031852
6E5,1499097806.770,24.660985,59.399757,-0.556881,0.030891
